text,sentiment
You have selected some technologies for the assessment but the assessment objective was to see how you can describe or justify each chosen technology. So you have failed to fulfil this objective.,Critical 
The work lacks novelty and presentation ,Critical 
This work does not reflect an understanding of the subject matter,Critical 
"Learning is never done without error, so you should be spending more time.",Critical 
I would have implemented the method using this technique or other techniques ,Critical 
Need to improve,Critical 
"To be honest, this report is far behind my expectations. You have not complied with the criteria listed in the assessment brief and missed marks.",Critical 
The report misses critical discussion and interpretation of the findings. ,Critical 
You missed to integrate technology in your assignment.,Critical 
"I respect your effort to fulfill the assignment task, but you need to read and follow the assignment brief more carefully. ",Critical 
This submission would have benefited from greater integration of technology into the assignment,Critical 
"Although,  you have chosen good technologies for the assessment but lack of enough justifications is evident",Neutral 
The work addresses challenge of the new problem. ,Neutral 
"Your work is somewhat okay, but it needs improvement",Neutral 
"You are doing well, but there is always room for improvement.",Neutral 
Satisfactory piece of work that discusses x and y using z ,Neutral 
Average performance,Neutral 
The report is about the integration of technology in assignment; the student has covered the task.,Neutral 
"The report incorporates the key information on the domain, but it does not go beyond the basic information",Neutral 
"Although you integrated technology in your assignment and fulfilled the requirement, it lacks depth and examples. ",Neutral 
While this submission displayed some integration of technology into the assignment this could have been more thorough and considered,Neutral 
Your report shows a basic level of knowledge. There are some areas I have highlighted in your report which can be improved. ,Neutral 
You have done a good job by selecting appropriate technologies to complete the assessment. well done. for the next assessments don't forget to put more description about your choices.,Encouraging 
The proposed work and concepts are novel and original. There is a good contribution. ,Encouraging 
"Your work is well written, considering all the requirements needed.",Encouraging 
"Well done, you deserve it",Encouraging 
"This is very good piece of work, well done ! ",Encouraging 
"Excellent work, but you can do better",Encouraging 
"Excellent work on this topic! Your report is thorough. To make it truly outstanding, I recommend exploring potential areas for technology integration.",Encouraging 
 You did a great job. you could focus more on the analysis that could improve the quality of your report. ,Encouraging 
I think you have done a good job to integrate the technology in your assignment. I especially appreciate your examples.,Encouraging 
"This submission demonstrates excellent integration of technology into the assignment, well done.",Encouraging 
Good job! You have demonstrated a high level of knowledge in the integration of technology topic.,Encouraging 
